"accountName","active","alertDetails","entity","firstOccurrence","lastOccurrence","severity"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Pradeep Gupta:OneDrive","2022-05-18T15:30:59.000Z","2022-06-09T23:36:05.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","DBK:OneDrive","2022-04-12T04:57:40.000Z","2022-05-11T12:51:30.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Henrietta Mueller:OneDrive","2022-05-18T15:30:58.000Z","2022-06-09T23:36:05.000Z","Warning"
"MSP SE LAB Sandbox","No","License Expiry","Administrator","2022-12-08T16:21:34.000Z","2022-12-09T12:47:44.000Z","Critical"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Megan Bowen:OneDrive","2022-05-18T15:30:59.000Z","2022-06-09T23:36:05.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Johanna Lorenz:OneDrive","2022-05-18T15:30:59.000Z","2022-06-09T23:36:05.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Pradeep Gupta:OneDrive","2022-04-12T04:57:41.000Z","2022-05-11T12:51:30.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Johanna Lorenz:OneDrive","2022-04-12T04:57:41.000Z","2022-05-11T12:51:30.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Henrietta Mueller:OneDrive","2023-02-25T23:42:38.000Z","2023-02-25T23:42:38.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Megan Bowen:OneDrive","2022-04-12T04:57:41.000Z","2022-05-11T12:51:30.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","DBK:OneDrive","2022-05-18T15:30:58.000Z","2022-06-09T23:36:05.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","Henrietta Mueller:OneDrive","2022-04-12T04:57:40.000Z","2022-05-11T12:51:30.000Z","Warning"
"MSP SE LAB Sandbox","No","Misconfigured Backup Folder","DBK:DESKTOP-2TS8NQ1","2022-11-21T21:43:43.000Z","2022-11-21T21:46:44.000Z","Warning"
"MSP SE LAB Sandbox","No","Misconfigured Backup Folder","DBK:DVA-EP-OBSRV","2023-06-08T23:54:18.000Z","2023-06-08T23:54:18.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","DBK:DBK-LAPTOP-TEST","2023-05-23T16:35:29.000Z","2023-06-08T21:01:05.000Z","Warning"
"MSP SE LAB Sandbox","No","Misconfigured Backup Folder","DBK:DBK-LAPTOP-TEST","2023-07-12T03:19:17.000Z","2023-07-12T13:30:13.000Z","Warning"
"MSP SE LAB Sandbox","No","User Backup Inactivity","DBK:DVA-EP-OBSRV","2023-06-22T05:34:30.000Z","2023-07-10T14:55:44.000Z","Warning"
"MSP SE LAB Sandbox","Yes","Misconfigured Backup Folder","DBK:DVA-EP-OBSRV","2023-12-13T22:58:57.000Z","2023-12-13T22:58:57.000Z","Warning"
"MSP SE LAB Sandbox","Yes","User Backup Inactivity","DBK:DBK-LAPTOP-TEST","2023-06-08T23:12:43.000Z","2023-12-14T12:50:35.000Z","Warning"
"Tenant ABC","Yes","License Expiry","Administrator","2023-04-16T01:44:29.000Z","2023-04-18T20:42:16.000Z","Critical"
"Tenant ABC","Yes","License Expiry","Administrator","2022-11-18T17:01:26.000Z","2022-11-19T15:07:57.000Z","Critical"
"Tenant ABC","No","License Expiry","Administrator","2023-05-26T20:03:30.000Z","2023-06-01T23:28:42.000Z","Critical"
"Tenant ABC","Yes","License Expiry","Administrator","2023-07-28T00:16:31.000Z","2023-07-28T08:33:34.000Z","Critical"
"Tenant ABC","Yes","License Expiry","Administrator","2023-07-28T00:16:37.000Z","2023-07-28T16:50:35.000Z","Critical"
"Tenant ABC","Yes","License Expiry","Administrator","2023-07-28T00:16:37.000Z","2023-07-28T18:55:04.000Z","Critical"
"Tenant ABC","Yes","License Expiry","Administrator","2023-07-28T00:16:32.000Z","2023-07-28T20:59:24.000Z","Critical"
"Tenant ABC","No","License Expiry","Administrator","2023-07-28T00:16:35.000Z","2023-07-28T23:03:51.000Z","Critical"
"Demo","No","License Expiry","Administrator","2022-04-24T00:17:12.000Z","2022-05-01T21:54:34.000Z","Critical"
"Demo","No","License Expiry","Administrator","2023-04-01T00:58:30.000Z","2023-04-08T22:09:18.000Z","Critical"
